SCOPE	NAME	VALUE_DEFAULT_SEMANTICS	PURPOSE	SOURCE
runtime/cuda	DS4_CUDA_NO_Q8_BATCH_TOK4	presence kill switch; default unset (eligible path remains available); any defined value including 0 disables	Disable the Q8 batch tok4 CUDA Q8 optimization.	ds4_cuda.cu:19805
runtime/cuda	DS4_CUDA_NO_Q8_BATCH_TOK8	presence kill switch; default unset (eligible path remains available); any defined value including 0 disables	Disable the Q8 batch tok8 CUDA Q8 optimization.	ds4_cuda.cu:19788
runtime/cuda	DS4_CUDA_NO_Q8_BATCH_WARP	presence kill switch; default unset (eligible path remains available); any defined value including 0 disables	Disable the Q8 batch warp CUDA Q8 optimization.	ds4_cuda.cu:19787
runtime/cuda	DS4_CUDA_NO_Q8_DP4A	presence kill switch; default unset (eligible path remains available); any defined value including 0 disables	Disable the Q8 DP4A CUDA Q8 optimization.	ds4_cuda.cu:2391
runtime/cuda	DS4_CUDA_NO_Q8_F16_CACHE	presence kill switch; default unset (eligible path remains available); any defined value including 0 disables	Disable the Q8 F16 cache CUDA Q8 optimization.	ds4_cuda.cu:2356
runtime/cuda	DS4_CUDA_NO_Q8_F32_CACHE	presence kill switch; default unset (eligible path remains available); any defined value including 0 disables	Disable the Q8 F32 cache CUDA Q8 optimization.	ds4_cuda.cu:2411
runtime/cuda	DS4_CUDA_NO_Q8_FOLD	value-aware kill switch, default off; nonempty value other than exact 0 disables and wins over enable	Disable the Q8_1 producer-to-consumer fold.	ds4_cuda.cu:786
runtime/cuda	DS4_CUDA_NO_Q8_FUSED_ALIGNED	presence kill switch; default unset (eligible path remains available); any defined value including 0 disables	Disable the Q8 fused aligned CUDA Q8 optimization.	ds4_cuda.cu:20141
runtime/cuda	DS4_CUDA_NO_Q8_MMA	presence kill switch; default unset (eligible path remains available); any defined value including 0 disables	Disable the Q8 MMA CUDA Q8 optimization.	ds4_cuda.cu:10781
runtime/cuda	DS4_CUDA_NO_Q8_PAIR_BATCH_EXACT	presence kill switch; default unset (eligible path remains available); any defined value including 0 disables	Disable the Q8 pair batch exact CUDA Q8 optimization.	ds4_cuda.cu:20302
runtime/cuda	DS4_CUDA_NO_Q8_PAIR_BATCH_EXACT_TOK2	presence kill switch; default unset (eligible path remains available); any defined value including 0 disables	Disable the Q8 pair batch exact tok2 CUDA Q8 optimization.	ds4_cuda.cu:20305
runtime/cuda	DS4_CUDA_NO_QKV_KV_ROPE_FUSE	value-aware kill switch; default off; nonempty value other than exact 0 disables	Disable the CUDA QKV KV rope fuse optimization/path.	ds4.c:17441
runtime/cuda	DS4_CUDA_NO_QKV_PAIR	presence kill switch; default unset (eligible path remains available); any defined value including 0 disables	Disable the CUDA QKV pair optimization/path.	ds4.c:17577
runtime/cuda	DS4_CUDA_NO_SCORE_TILE	presence kill switch; default unset (eligible path remains available); any defined value including 0 disables	Disable the CUDA score tile optimization/path.	ds4_cuda.cu:13734; ds4.c:68748
runtime/cuda	DS4_CUDA_NO_SETDEVICE_CACHE	presence kill switch; default unset (eligible path remains available); any defined value including 0 disables	Disable the cached current-tier shortcut and call cudaSetDevice for every tier selection.	ds4_cuda.cu:377
runtime/cuda	DS4_CUDA_NO_SPLITKV_DECODE	value-aware kill switch, default off; exact 0/empty is off, other nonempty values disable	Disable splitkv decode in CUDA split-KV attention/speculation.	ds4_cuda.cu:2211
runtime/cuda	DS4_CUDA_NO_SPLITKV_SPEC	value-aware kill switch; default off; nonempty value other than exact 0 disables	Disable splitkv spec in CUDA split-KV attention/speculation.	ds4.c:17268
runtime/cuda	DS4_CUDA_NO_SPLITKV_SPEC_BATCH_VERIFY	value-aware kill switch; default off; nonempty value other than exact 0 disables	Disable splitkv spec batch verify in CUDA split-KV attention/speculation.	ds4.c:17288
runtime/cuda	DS4_CUDA_NO_SPLITKV_SPEC_TOPONLY_ROW0	value-aware kill switch; default off; nonempty value other than exact 0 disables	Disable splitkv spec toponly row0 in CUDA split-KV attention/speculation.	ds4.c:17278
runtime/cuda	DS4_CUDA_NO_STREAMING_EXPERT_PERSISTENT_CACHE	false-like-aware flag, default off; 0/false/no/off (case-insensitive) is off, any other nonempty value is on; disable flags dominate	Disable streaming expert persistent cache in CUDA SSD streaming.	ds4_cuda.cu:4115
runtime/cuda	DS4_CUDA_NO_STREAMING_SELECTED_BATCH_IO	false-like-aware flag, default off; 0/false/no/off (case-insensitive) is off, any other nonempty value is on; disable flags dominate	Disable streaming selected batch I/O in CUDA SSD streaming.	ds4_cuda.cu:4736
runtime/cuda	DS4_CUDA_NO_STREAMING_SELECTED_EVENT_PIPELINE	false-like-aware flag, default off; 0/false/no/off (case-insensitive) is off, any other nonempty value is on; disable flags dominate	Disable streaming selected event pipeline in CUDA SSD streaming.	ds4_cuda.cu:4868
runtime/cuda	DS4_CUDA_NO_TF32	presence kill switch; default unset (eligible path remains available); any defined value including 0 disables	Use default cuBLAS math instead of TF32 tensor operations.	ds4_cuda.cu:6657
runtime/cuda	DS4_CUDA_NO_TOP1	presence kill switch; default unset (eligible path remains available); any defined value including 0 disables	Disable the dedicated CUDA indexer top-1 kernel.	ds4_cuda.cu:375
runtime/cuda	DS4_CUDA_NO_TOPK1024	presence kill switch; default unset (eligible path remains available); any defined value including 0 disables	Disable the topk1024 CUDA indexer kernel/path.	ds4_cuda.cu:19290
runtime/cuda	DS4_CUDA_NO_TOPK2048	presence kill switch; default unset (eligible path remains available); any defined value including 0 disables	Disable the topk2048 CUDA indexer kernel/path.	ds4_cuda.cu:19297
runtime/cuda	DS4_CUDA_NO_TOPK2048_WIDE	presence kill switch; default unset (eligible path remains available); any defined value including 0 disables	Disable the topk2048 wide CUDA indexer kernel/path.	ds4_cuda.cu:19212
runtime/cuda	DS4_CUDA_NO_TOPK8192	presence kill switch; default unset (eligible path remains available); any defined value including 0 disables	Disable the topk8192 CUDA indexer kernel/path.	ds4_cuda.cu:19335
runtime/cuda	DS4_CUDA_NO_TOPK_CHUNKED	presence kill switch; default unset (eligible path remains available); any defined value including 0 disables	Disable the topk chunked CUDA indexer kernel/path.	ds4_cuda.cu:19374
runtime/cuda	DS4_CUDA_NO_TOPK_STREAM	presence kill switch; default unset (eligible path remains available); any defined value including 0 disables	Disable the topk stream CUDA indexer kernel/path.	ds4_cuda.cu:19366
runtime/cuda	DS4_CUDA_NO_TP_ATTN_OUT_HC_FUSE	presence kill switch; default unset (eligible path remains available); any defined value including 0 disables	Disable the CUDA TP attn out HC fuse optimization/path.	ds4.c:17580
runtime/cuda	DS4_CUDA_NO_VERIFY_DECODE2_SPLIT_TOP1	value-aware kill switch; default off; nonempty value other than exact 0 disables	Disable the CUDA verify decode2 split top1 optimization/path.	ds4.c:17238
runtime/cuda	DS4_CUDA_NO_WARP_ROUTER_SELECT	presence kill switch; default unset (eligible path remains available); any defined value including 0 disables	Disable the CUDA warp router select optimization/path.	ds4_cuda.cu:24490
runtime/cuda	DS4_CUDA_NO_WINDOW_ATTENTION	presence kill switch; default unset (eligible path remains available); any defined value including 0 disables	Disable the CUDA window attention optimization/path.	ds4_cuda.cu:23050
runtime/cuda	DS4_CUDA_NSYS_PREFILL_START_POS	nonempty-string flag, default off; any nonempty value enables MMQ NVTX ranges (the value is not parsed as a position)	Enable MMQ NVTX annotations intended for Nsight Systems prefill capture.	cuda/mmq/ds4_mmq.cu:49
runtime/cuda	DS4_CUDA_NVTX	strict flag, default off; only exact value 1 enables (a nonempty NSYS variable also enables ranges)	Enable NVTX ranges around MMQ work.	cuda/mmq/ds4_mmq.cu:48
runtime/cuda	DS4_CUDA_OUTPUT_FUSED_TOP1	value-aware boolean; default off; unset/empty uses default, exact 0 disables, any other nonempty value enables	Fuse output projection with top-1 selection in greedy decode.	ds4.c:17230
runtime/cuda	DS4_CUDA_PREFILL_PIPELINE	boolean, default follows CUDA TP decode; nonempty exact 0 disables, any other nonempty value enables	Control the CUDA multi-tier prefill pipeline.	ds4.c:17469
runtime/cuda	DS4_CUDA_PREFILL_PIPELINE_MB	positive integer rows; default/invalid 512	Set prefill-pipeline microbatch rows.	ds4.c:17484
runtime/cuda	DS4_CUDA_PREFILL_PIPELINE_Q8_CACHE	value-aware boolean; default off; unset/empty uses default, exact 0 disables, any other nonempty value enables	Keep selective Q8 caches enabled while running the prefill pipeline.	ds4.c:17479
runtime/cuda	DS4_CUDA_PREFILL_PIPELINE_SEQUENTIAL	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Execute prefill pipeline stages sequentially for diagnosis.	ds4.c:35540
runtime/cuda	DS4_CUDA_PREFILL_PIPELINE_SYNC_BOUNDARY	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Synchronize CUDA at every prefill pipeline tier boundary.	ds4.c:35587
runtime/cuda	DS4_CUDA_Q4_ATTN_OUT_HC_ORACLE	value-aware flag, default off; unset/empty/exact 0 is off, any other nonempty value is on	Compare fused Q4 attention-output/HC expansion with the canonical path and retain canonical output.	ds4_cuda.cu:1475
runtime/cuda	DS4_CUDA_Q4_ATTN_OUT_HC_Q8K_EXPERIMENT	value-aware flag, default off; unset/empty/exact 0 is off, any other nonempty value is on	Enable the experimental Q8_K-based Q4 attention-output/HC fusion.	ds4_cuda.cu:37377
runtime/cuda	DS4_CUDA_Q4_GROUPED_ATTN_A_ORACLE	value-aware flag, default off; unset/empty/exact 0 is off, any other nonempty value is on	Compare grouped attention-A against the canonical per-group result.	ds4_cuda.cu:1477
runtime/cuda	DS4_CUDA_Q4_K1024_PERSISTENT_ORACLE	value-aware flag, default off; nonempty value other than exact 0 enables and implies candidate admission	Bitwise-compare the exact-shape persistent Q4 K1024 kernel with canonical MMVQ and retain canonical output.	cuda/mmq/ds4_mmq.cu:3748
runtime/cuda	DS4_CUDA_Q4_K1024_PERSISTENT_STATS	value-aware flag, default off; nonempty value other than exact 0 enables	Print exact-shape persistent Q4 K1024 dispatch counters at exit.	cuda/mmq/ds4_mmq.cu:3747
runtime/cuda	DS4_CUDA_Q8_F16_ALL	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Control the Q8 F16 all CUDA quantized-matmul/cache optimization.	ds4_cuda.cu:2358
runtime/cuda	DS4_CUDA_Q8_F16_CACHE_MB	unsigned integer MiB, full-string parse; default unlimited; 0 disables this cache	Limit the selective Q8-to-F16 derived-weight cache.	ds4_cuda.cu:2218
runtime/cuda	DS4_CUDA_Q8_F16_CACHE_RESERVE_MB	unsigned integer MiB, full-string parse; default is VRAM-dependent (>=112 GiB: 512; >=40 GiB: max(768,1%); smaller: max(4096,5%))	Reserve free VRAM when growing the selective Q8-to-F16 cache.	ds4_cuda.cu:2224
runtime/cuda	DS4_CUDA_Q8_F32_ALL	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Control the Q8 F32 all CUDA quantized-matmul/cache optimization.	ds4_cuda.cu:2412
runtime/cuda	DS4_CUDA_Q8_F32_LARGE	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Control the Q8 F32 large CUDA quantized-matmul/cache optimization.	ds4_cuda.cu:2416
runtime/cuda	DS4_CUDA_Q8_F32_PRELOAD	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Control the Q8 F32 preload CUDA quantized-matmul/cache optimization.	ds4_cuda.cu:8597
runtime/cuda	DS4_CUDA_Q8_FOLD_ORACLE	strict flag, default off; only exact value 1 enables	Compare folded Q8_1 bytes and consumer outputs against canonical work while retaining canonical results.	cuda/mmq/ds4_mmq.cu:391
runtime/cuda	DS4_CUDA_Q8_HC_EXPAND_FUSED	false-like-aware flag, default off; 0/false/no/off (case-insensitive) is off, other nonempty values force fused	Force the fused Q8 shared-down/HC expansion path.	ds4_cuda.cu:2084
runtime/cuda	DS4_CUDA_Q8_HC_EXPAND_STATS	false-like-aware flag, default off; 0/false/no/off is off, other nonempty values print report	Print Q8 shared-down/HC policy and dispatch counters at exit.	ds4_cuda.cu:2090
runtime/cuda	DS4_CUDA_Q8_NO_ALIGNED	value-aware kill switch, default off; nonempty value other than exact 0 disables aligned Q8 kernels	Disable aligned Q8 CUDA matmul kernels.	ds4_cuda.cu:1021
runtime/cuda	DS4_CUDA_Q8_PAIR_BATCH	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Control the Q8 pair batch CUDA quantized-matmul/cache optimization.	ds4_cuda.cu:20167
runtime/cuda	DS4_CUDA_QKV_KV_ROPE_FUSE	value-aware boolean; default on; unset/empty uses default, exact 0 disables, any other nonempty value enables	Control or tune the CUDA QKV KV rope fuse path.	ds4.c:17444
runtime/cuda	DS4_CUDA_Q_NORM_ROPE_FUSE	value-aware boolean; default on; unset/empty uses default, exact 0 disables, any other nonempty value enables	Control or tune the CUDA q norm rope fuse path.	ds4.c:17433
runtime/cuda	DS4_CUDA_REQUIRE_IQ2_XXS_SSD_PREFILL_MMQ	false-like-aware flag, default off; 0/false/no/off (case-insensitive) is off, any other nonempty value is on; disable flags dominate	Require the CUDA IQ2 XXS SSD prefill MMQ path; fail closed when unavailable.	ds4_cuda.cu:4631
runtime/cuda	DS4_CUDA_REQUIRE_Q4_GROUPED_ATTN_A_BATCH	value-aware flag, default off; unset/empty/exact 0 is off, any other nonempty value is on	Fail if grouped batched attention-A cannot be used.	ds4_cuda.cu:40198
runtime/cuda	DS4_CUDA_REQUIRE_Q4_K1024_PERSISTENT	presence flag, default off; any defined value including 0 makes ineligible candidate fail closed	Fail when the exact Q4 K1024 persistent candidate is unavailable instead of using MMVQ.	cuda/mmq/ds4_mmq.cu:3939
runtime/cuda	DS4_CUDA_REQUIRE_STREAMING_EXPERT_PERSISTENT_CACHE	false-like-aware flag, default off; 0/false/no/off (case-insensitive) is off, any other nonempty value is on; disable flags dominate	Require streaming expert persistent cache in CUDA SSD streaming; fail closed when unavailable.	ds4_cuda.cu:4117
runtime/cuda	DS4_CUDA_REQUIRE_STREAMING_SELECTED_BATCH_IO	false-like-aware flag, default off; 0/false/no/off (case-insensitive) is off, any other nonempty value is on; disable flags dominate	Require streaming selected batch I/O in CUDA SSD streaming; fail closed when unavailable.	ds4_cuda.cu:4738
runtime/cuda	DS4_CUDA_REQUIRE_STREAMING_SELECTED_EVENT_PIPELINE	false-like-aware flag, default off; 0/false/no/off (case-insensitive) is off, any other nonempty value is on; disable flags dominate	Require streaming selected event pipeline in CUDA SSD streaming; fail closed when unavailable.	ds4_cuda.cu:4870
runtime/cuda	DS4_CUDA_SERIAL_F16_MATMUL	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Control the serial F16 matmul CUDA F16 matmul path.	ds4_cuda.cu:20801
runtime/cuda	DS4_CUDA_SERIAL_ROUTER	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Control or tune the CUDA serial router path.	ds4_cuda.cu:20806
runtime/cuda	DS4_CUDA_SESSION_BATCH_ATTN_ALIAS	value-aware boolean; default on; unset/empty uses default, exact 0 disables, any other nonempty value enables	Control the grouped multi-session CUDA attn alias stage.	ds4.c:70528
runtime/cuda	DS4_CUDA_SESSION_BATCH_ATTN_CORE	value-aware boolean; default on; unset/empty uses default, exact 0 disables, any other nonempty value enables	Control the grouped multi-session CUDA attn core stage.	ds4.c:70531
runtime/cuda	DS4_CUDA_SESSION_BATCH_ATTN_POST	value-aware boolean; default on; unset/empty uses default, exact 0 disables, any other nonempty value enables	Control the grouped multi-session CUDA attn post stage.	ds4.c:70543
runtime/cuda	DS4_CUDA_SESSION_BATCH_ATTN_PRE	value-aware boolean; default on; unset/empty uses default, exact 0 disables, any other nonempty value enables	Control the grouped multi-session CUDA attn pre stage.	ds4.c:70524
runtime/cuda	DS4_CUDA_SESSION_BATCH_FFN_PRE	value-aware boolean; default on; unset/empty uses default, exact 0 disables, any other nonempty value enables	Control the grouped multi-session CUDA ffn pre stage.	ds4.c:70520
runtime/cuda	DS4_CUDA_SESSION_BATCH_INTERLEAVE	boolean, default on; unset/empty/nonzero enables pipeline interleaving; exact 0 disables	Control the grouped multi-session CUDA interleave stage.	ds4.c:71204
runtime/cuda	DS4_CUDA_SESSION_BATCH_KV_STORE	value-aware boolean; default on; unset/empty uses default, exact 0 disables, any other nonempty value enables	Control the grouped multi-session CUDA KV store stage.	ds4.c:70539
runtime/cuda	DS4_CUDA_SESSION_BATCH_MOE	value-aware boolean; default on; unset/empty uses default, exact 0 disables, any other nonempty value enables	Control the grouped multi-session CUDA MoE stage.	ds4.c:70057
runtime/cuda	DS4_CUDA_SESSION_BATCH_MOE_COMBINE_ROWS	value-aware boolean; default on; unset/empty uses default, exact 0 disables, any other nonempty value enables	Control the grouped multi-session CUDA MoE combine rows stage.	ds4.c:70057
runtime/cuda	DS4_CUDA_SESSION_BATCH_QKV	value-aware boolean; default on; unset/empty uses default, exact 0 disables, any other nonempty value enables	Control the grouped multi-session CUDA QKV stage.	ds4.c:70535
runtime/cuda	DS4_CUDA_SESSION_BATCH_SHARED	value-aware boolean; default on; unset/empty uses default, exact 0 disables, any other nonempty value enables	Control the grouped multi-session CUDA shared stage.	ds4.c:70516
runtime/cuda	DS4_CUDA_SPLITKV_CHUNK	integer scores/chunk; default 512; clamped 1..512	Control splitkv chunk in CUDA split-KV attention/speculation.	ds4_cuda.cu:22568
runtime/cuda	DS4_CUDA_SPLITKV_DECODE	value-aware boolean, default off; exact 0/empty is off, other nonempty values enable; mere presence also excludes one session-batch path	Enable split-KV decode attention.	ds4_cuda.cu:2213; ds4.c:68737
runtime/cuda	DS4_CUDA_SPLITKV_GLOBAL_SOFTMAX	value-aware opt-in, default off; exact 0/empty is off, other nonempty values enable	Use the global-softmax variant of split-KV attention.	ds4_cuda.cu:22589
runtime/cuda	DS4_CUDA_SPLITKV_MIN_SCORE	integer score count 0..UINT32_MAX; default 0 when explicitly enabled, otherwise 512; CUDA kernel clamps to 0..8192	Set the minimum visible-score count for split-KV attention.	ds4_cuda.cu:22557; ds4.c:17417
runtime/cuda	DS4_CUDA_SPLITKV_S	integer exact split count; unset/invalid = automatic; valid value clamped 1..16	Control splitkv s in CUDA split-KV attention/speculation.	ds4_cuda.cu:22578
runtime/cuda	DS4_CUDA_SPLITKV_SPEC	value-aware boolean; default off; unset/empty uses default, exact 0 disables, any other nonempty value enables	Enable split-KV speculative decoding.	ds4.c:17270
runtime/cuda	DS4_CUDA_SPLITKV_SPEC_BATCH_VERIFY	value-aware boolean; default off; unset/empty uses default, exact 0 disables, any other nonempty value enables	Use batched verification for split-KV speculation.	ds4.c:17290
runtime/cuda	DS4_CUDA_SPLITKV_SPEC_LOG	presence diagnostic flag; default off; any defined value including 0 enables	Log split-KV speculative-decode admission and fallback decisions.	ds4.c:56077
runtime/cuda	DS4_CUDA_SPLITKV_SPEC_TIMING	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Print timing for split-KV speculative-decode stages.	ds4.c:56116
runtime/cuda	DS4_CUDA_SPLITKV_SPEC_TOPONLY_ROW0	value-aware boolean; default off; unset/empty uses default, exact 0 disables, any other nonempty value enables	Compute only the top result for row zero in split-KV speculation.	ds4.c:17280
runtime/cuda	DS4_CUDA_SPLITKV_S_FLOOR	integer split count; default 4; clamped 1..16	Control splitkv s floor in CUDA split-KV attention/speculation.	ds4_cuda.cu:22571
runtime/cuda	DS4_CUDA_SPLITKV_S_MAX	integer split count; default 16; clamped 1..16	Control splitkv s max in CUDA split-KV attention/speculation.	ds4_cuda.cu:22574
runtime/cuda	DS4_CUDA_STREAMING_EXPERT_CACHE_PROFILE	presence diagnostic flag; default off; any defined value including 0 enables	Profile CUDA SSD-streaming streaming expert cache.	ds4.c:21864
runtime/cuda	DS4_CUDA_STREAMING_EXPERT_PERSISTENT_CACHE_ORACLE	false-like-aware flag, default off; 0/false/no/off (case-insensitive) is off, any other nonempty value is on; disable flags dominate	Run the diagnostic oracle for CUDA SSD-streaming streaming expert persistent cache.	ds4_cuda.cu:4121
runtime/cuda	DS4_CUDA_STREAMING_EXPERT_PERSISTENT_CACHE_STATS	false-like-aware flag, default off; 0/false/no/off (case-insensitive) is off, any other nonempty value is on; disable flags dominate	Print counters for CUDA SSD-streaming streaming expert persistent cache.	ds4_cuda.cu:4119
runtime/cuda	DS4_CUDA_STREAMING_PREFILL_BATCH_SELECTED_PROFILE	presence diagnostic flag; default off; any defined value including 0 enables	Profile CUDA SSD-streaming streaming prefill batch selected.	ds4.c:21947
runtime/cuda	DS4_CUDA_STREAMING_SELECTED_BATCH_IO_ORACLE	false-like-aware flag, default off; 0/false/no/off (case-insensitive) is off, any other nonempty value is on; disable flags dominate	Run the diagnostic oracle for CUDA SSD-streaming streaming selected batch I/O.	ds4_cuda.cu:4740
runtime/cuda	DS4_CUDA_STREAMING_SELECTED_BATCH_IO_PROFILE	false-like-aware flag, default off; 0/false/no/off (case-insensitive) is off, any other nonempty value is on; disable flags dominate	Profile CUDA SSD-streaming streaming selected batch I/O.	ds4_cuda.cu:5711
runtime/cuda	DS4_CUDA_STREAMING_SELECTED_EVENT_PIPELINE_ORACLE	false-like-aware flag, default off; 0/false/no/off (case-insensitive) is off, any other nonempty value is on; disable flags dominate	Run the diagnostic oracle for CUDA SSD-streaming streaming selected event pipeline.	ds4_cuda.cu:4872
runtime/cuda	DS4_CUDA_STREAMING_SELECTED_EVENT_PIPELINE_STATS	false-like-aware flag, default off; 0/false/no/off (case-insensitive) is off, any other nonempty value is on; disable flags dominate	Print counters for CUDA SSD-streaming streaming selected event pipeline.	ds4_cuda.cu:4874
runtime/cuda	DS4_CUDA_STRICT_WEIGHT_CACHE	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Fail a weight lookup when cache allocation fails instead of falling back to mapped model memory.	ds4_cuda.cu:6388
runtime/cuda	DS4_CUDA_SYNC_XDEV	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Synchronize cross-device CUDA copies for debugging and error localization.	ds4_cuda.cu:363
runtime/cuda	DS4_CUDA_TP_ATTN	value-aware boolean; default on; unset/empty uses default, exact 0 disables, any other nonempty value enables	Control CUDA tensor/expert-parallel attn execution.	ds4.c:17050
runtime/cuda	DS4_CUDA_TP_ATTN_CACHE_DUP	value-aware boolean; default off; unset/empty uses default, exact 0 disables, any other nonempty value enables	Control CUDA tensor/expert-parallel attn cache dup execution.	ds4.c:17074
runtime/cuda	DS4_CUDA_TP_ATTN_HEADS	value-aware boolean; default off; unset/empty uses default, exact 0 disables, any other nonempty value enables	Control CUDA tensor/expert-parallel attn heads execution.	ds4.c:17066
runtime/cuda	DS4_CUDA_TP_ATTN_OUT_HC_FUSE	presence flag; unset does not force the path; any defined value including 0 is true; eligibility/auto-policy still applies	Control CUDA tensor/expert-parallel attn out HC fuse execution.	ds4.c:17579
runtime/cuda	DS4_CUDA_TP_ATTN_PEER_READ	value-aware boolean; default on; unset/empty uses default, exact 0 disables, any other nonempty value enables	Control CUDA tensor/expert-parallel attn peer read execution.	ds4.c:17058
runtime/cuda	DS4_CUDA_TP_EP_BALANCED_SHARED_MID	value-aware boolean; default on; unset/empty uses default, exact 0 disables, any other nonempty value enables	Control CUDA tensor/expert-parallel EP balanced shared mid execution.	ds4.c:17131
runtime/cuda	DS4_CUDA_TP_EP_DELAY_REDUCE	value-aware boolean; default on; unset/empty uses default, exact 0 disables, any other nonempty value enables	Control CUDA tensor/expert-parallel EP delay reduce execution.	ds4.c:17106
runtime/cuda	DS4_CUDA_TP_EP_DIRECT_RETURN	value-aware boolean; default on; unset/empty uses default, exact 0 disables, any other nonempty value enables	Control CUDA tensor/expert-parallel EP direct return execution.	ds4.c:17098
runtime/cuda	DS4_CUDA_TP_EP_DUAL_PREQUANT	value-aware boolean; default on; unset/empty uses default, exact 0 disables, any other nonempty value enables	Control CUDA tensor/expert-parallel EP dual prequant execution.	ds4.c:17140
runtime/cuda	DS4_CUDA_TP_EP_FUSED_HC_REDUCE	value-aware boolean; default on; unset/empty uses default, exact 0 disables, any other nonempty value enables	Control CUDA tensor/expert-parallel EP fused HC reduce execution.	ds4.c:17114
runtime/cuda	DS4_CUDA_TP_EP_FUSED_SHARED_MID	value-aware boolean; default on; unset/empty uses default, exact 0 disables, any other nonempty value enables	Control CUDA tensor/expert-parallel EP fused shared mid execution.	ds4.c:17122
runtime/cuda	DS4_CUDA_TP_EP_PACK_EXACT	value-aware boolean; default on; unset/empty uses default, exact 0 disables, any other nonempty value enables	Control CUDA tensor/expert-parallel EP pack exact execution.	ds4.c:17090
runtime/cuda	DS4_CUDA_TP_MOE	value-aware boolean; default on; unset/empty uses default, exact 0 disables, any other nonempty value enables	Control CUDA tensor/expert-parallel MoE execution.	ds4.c:17082
runtime/cuda	DS4_CUDA_TP_MOE_COPY3	value-aware boolean; default off; unset/empty uses default, exact 0 disables, any other nonempty value enables	Control CUDA tensor/expert-parallel MoE copy3 execution.	ds4.c:17164
runtime/cuda	DS4_CUDA_TP_MOE_DELAY_REDUCE	value-aware boolean; default on; unset/empty uses default, exact 0 disables, any other nonempty value enables	Control CUDA tensor/expert-parallel MoE delay reduce execution.	ds4.c:17148
runtime/cuda	DS4_CUDA_TP_MOE_PACK	value-aware boolean; default off; unset/empty uses default, exact 0 disables, any other nonempty value enables	Control CUDA tensor/expert-parallel MoE pack execution.	ds4.c:17156
runtime/cuda	DS4_CUDA_TP_MOE_PEER_READ	value-aware boolean; default off; unset/empty uses default, exact 0 disables, any other nonempty value enables	Control CUDA tensor/expert-parallel MoE peer read execution.	ds4.c:17172
runtime/cuda	DS4_CUDA_TP_MOE_PEER_ROUTER	value-aware boolean; default off; unset/empty uses default, exact 0 disables, any other nonempty value enables	Control CUDA tensor/expert-parallel MoE peer router execution.	ds4.c:17180
runtime/cuda	DS4_CUDA_TP_OUTPUT	boolean, default on; empty/unset/nonzero enables, exact 0 disables	Control CUDA tensor/expert-parallel output execution.	ds4.c:51974
runtime/cuda	DS4_CUDA_TP_OUTPUT_WAYS	integer 2..DS4_MAX_GPUS (16); default 8; invalid value falls back to 2; capped by available GPUs	Set the number of GPU ways used to shard CUDA tensor-parallel output projection.	ds4.c:58; ds4.c:51981
runtime/cuda	DS4_CUDA_TP_PREFILL_ATTN_OUTPUT	value-aware boolean; default on; unset/empty uses default, exact 0 disables, any other nonempty value enables	Control CUDA tensor/expert-parallel prefill attn output execution.	ds4.c:17460
runtime/cuda	DS4_CUDA_TP_PREFILL_FFN	value-aware boolean; default on; unset/empty uses default, exact 0 disables, any other nonempty value enables	Control CUDA tensor/expert-parallel prefill ffn execution.	ds4.c:17452
runtime/cuda	DS4_CUDA_TP_Q	value-aware boolean; default off; unset/empty uses default, exact 0 disables, any other nonempty value enables	Control CUDA tensor/expert-parallel q execution.	ds4.c:17204
runtime/cuda	DS4_CUDA_TP_SHARED	value-aware boolean; default off; unset/empty uses default, exact 0 disables, any other nonempty value enables	Control CUDA tensor/expert-parallel shared execution.	ds4.c:17188
runtime/cuda	DS4_CUDA_TP_SHARED_FOLD	value-aware boolean; default on; unset/empty uses default, exact 0 disables, any other nonempty value enables	Control CUDA tensor/expert-parallel shared fold execution.	ds4.c:17196
runtime/cuda	DS4_CUDA_VERIFY_DECODE2_SPLIT_TOP1	value-aware boolean; default off; unset/empty uses default, exact 0 disables, any other nonempty value enables	Enable the split top-1 path for two-row verification decode.	ds4.c:17240
runtime/cuda	DS4_CUDA_WEIGHT_ARENA_CHUNK_MB	positive integer MiB; default 1792; clamped 256..8192 and raised/aligned when one allocation needs more	Set the CUDA selective-weight arena allocation chunk.	ds4_cuda.cu:6311
